Year,Date,Time,Location, Crash Type ,Crash Type #,Number of IMT Teams,Number of UHP Teams,RT,Response Time IMT,Response Time UHP,RCT for IMT,RCT for  UHP,ICT for IMT,ICT for  UHP,Lanes at Bottleneck,Number of Lanes Closed,,Affected Volume,Total Excess Travel Time,Total Teams,% Trucks, Individual Hourly Cost , Truck Hourly Cost ,AVO,Cost ($),Time Range,Time Range #,Excess Travel Time Per Vehicle (hours) ,T0,T1,T7,T1-T0,T7-T5,T7-T0,T5-T0,T7-T0 mod,
2022,6/13/2022,12:16:44,9540 E I80 WB; MM 137 I80 WB,PI Crash,2,2,2,32.6664,0.022685,0.051157,0.03838,0.03838,0.047095,0.113032,3,1,0.333,2106,73.9,4,17.50%,$17.81 ,$53.69 ,#N/A,#N/A,Afternoon Off Peak,3,0.035090218,12:15,12:16,13:15,0:01,0:03,1:00,0:57,60,
2022,6/13/2022,12:59:58,279008 I15 SB; MM 279 I15 SB,PI Crash,2,1,2,0.0504,0.000035,0.010845,0.039606,0.039606,0.041817,0.050394,6,2,0.333,4218,257.97,3,18.00%,$17.81 ,$53.69 ,1.36,"$5,123.73 ",Afternoon Off Peak,3,0.061159317,12:55,12:59,13:50,0:04,###############################################################################################################################################################################################################################################################,0:55,1:02,55,
2022,6/13/2022,15:25:26,700 S I15 SB ,PI Crash,2,3,4,13.1328,0.00912,0,0.018449,0.018449,0.016597,0.096979,5,1,0.2,3624,111.78,7,7.90%,$17.81 ,$53.69 ,1.36,"$2,493.60 ",Afternoon Off Peak,3,0.030844371,15:20,15:25,16:05,0:05,0:13,0:45,0:32,45,
2022,6/14/2022,12:51:59,266981 I15 NB; MM 267 I15 NB,PI Crash,2,1,4,43.69968,0.030347,0.007326,0.031262,0.031262,0.047847,0.061262,5,2,0.4,4585,149.89,5,15.80%,$17.81 ,$53.69 ,1.34,"$3,011.99 ",Afternoon Off Peak,3,0.032691385,12:50,12:51,14:00,0:01,0:23,1:10,0:47,70,
2022,6/14/2022,18:11:21,281930 I15 NB; MM 282 I15 NB,PI Crash,2,1,4,29.23344,0.020301,0,0.025451,0.025451,0.055833,0.085961,6,4,0.667,7339,541.43,5,7.00%,$17.81 ,$53.69 ,1.34,"$12,016.94 ",AM Peak,2,0.073774356,18:10,18:11,19:20,0:01,0:32,1:10,0:38,70,
2022,6/15/2022,7:59:18,264995 I15 NB; MM 265 I15 NB,PD Crash,3,2,4,3.36672,0.002338,0.005764,0.046319,0.046319,0.047604,0.047604,5,2,0.4,7023,277.46,6,12.00%,$17.81 ,$53.69 ,1.34,"$5,827.09 ",Afternoon Off Peak,3,0.039507333,7:55,7:59,9:15,0:04,0:09,1:20,1:11,80,
2022,6/15/2022,13:13:09,282986 I15 SB; MM 283 I15 SB,PI Crash,2,1,2,15.38352,0.010683,0.010093,0.022118,0.022118,0.036007,0.036007,6,1,0.167,3503,3.36,3,11.60%,$17.81 ,$53.69 ,1.36,$71.94 ,Afternoon Off Peak,3,0.000959178,13:10,13:13,13:40,0:03,###############################################################################################################################################################################################################################################################,0:30,0:35,30,
2022,6/15/2022,18:24:14,14094 S I15 SB; MM 289 I15 SB,PI Crash,2,1,3,11.03328,0.007662,0,0.049144,0.049144,0.049942,0.079236,6,2,0.333,8472,745.13,4,6.20%,$17.81 ,$53.69 ,1.36,"$16,929.25 ",PM Peak,4,0.087952077,18:20,18:24,19:35,0:04,###############################################################################################################################################################################################################################################################,1:15,1:15,75,
2022,6/16/2022,17:15:02,1300 S I15 NB,PD Crash,3,1,3,25.91712,0.017998,0.011204,0.028912,0.028912,0.026447,0.046829,5,1,0.2,8875,425.3,4,7.30%,$17.81 ,$53.69 ,1.34,"$9,409.01 ",PM Peak,4,0.047921127,17:15,17:15,18:25,0:00,0:28,1:10,0:41,70,
2022,6/15/2022,7:39:11,3542 S I15 NB; MM 303 I15 NB,PI Crash,2,1,3,15.90048,0.011042,0.006644,0.038762,0.038762,0.045995,0.046204,6,1,0.167,7879,395.79,4,12.90%,$17.81 ,$53.69 ,1.34,"$8,227.19 ",AM Peak,2,0.050233532,7:50,7:39,8:45,###############################################################################################################################################################################################################################################################,0:10,0:55,0:45,55,
